W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,P7,DEEP
19.0,106.6,109.0,0.4369,53.5,53.6,15.7,14.4,20.7,25.9,32.2,26.5,52.1,52.6,36.7,37.0,66.5,-8.6,16.0,0.0,0.0
22.0,101.9,108.1,0.3371,49.5,49.3,19.7,18.7,33.8,34.6,46.8,33.1,50.0,48.5,32.2,34.4,63.7,-4.5,15.0,0.0,0.0
23.0,100.6,106.5,0.3437,48.1,49.1,16.6,19.2,31.7,34.9,44.3,32.3,50.0,49.3,29.6,32.5,70.0,-4.4,16.0,0.0,0.0
16.0,104.1,112.4,0.293,50.5,51.2,17.2,16.2,28.5,32.5,42.9,31.2,48.5,49.4,35.9,36.6,72.6,-10.9,16.0,0.0,0.0
21.0,103.9,98.1,0.6613,50.6,46.4,21.8,20.6,39.3,31.0,44.3,32.5,49.3,46.4,36.2,30.8,64.0,-4.5,15.0,0.0,0.0
21.0,103.4,95.7,0.7106,49.3,45.2,18.2,21.5,34.1,29.7,38.0,42.1,48.5,42.8,34.3,33.4,68.4,-3.5,15.0,0.0,0.0
28.0,109.4,102.5,0.6783,52.7,47.9,19.5,19.1,35.6,28.5,43.3,35.2,54.2,49.1,33.5,30.3,69.1,-0.2,14.0,0.0,0.0
28.0,106.8,95.0,0.7927,51.6,46.0,17.4,19.0,33.8,22.5,29.1,33.0,52.0,45.7,34.0,31.1,69.4,1.3,12.0,0.0,0.0
30.0,111.8,98.2,0.8155,54.1,48.9,17.8,19.1,37.0,22.5,34.6,32.5,56.7,48.0,34.0,33.5,67.1,1.4,12.0,0.0,0.0
22.0,113.1,96.3,0.8637,53.8,48.9,16.2,16.3,31.2,23.0,29.1,29.1,52.3,49.2,37.8,32.1,64.1,-0.8,11.0,0.0,0.0
26.0,125.9,98.6,0.9432,53.8,49.3,14.6,18.5,35.2,31.3,38.8,40.8,50.3,50.3,39.5,30.7,66.7,6.5,3.0,1.0,0.0
27.0,108.7,91.5,0.8783,47.7,44.8,17.4,22.4,39.1,32.3,38.7,36.0,46.6,43.2,33.5,32.0,63.5,5.3,5.0,1.0,0.0
23.0,118.2,99.4,0.8793,51.7,49.7,15.7,17.8,32.4,30.4,39.4,38.5,48.7,48.8,37.9,34.2,71.6,4.1,5.0,1.0,0.0
26.0,108.3,89.8,0.8955,47.9,47.8,17.2,25.6,34.9,30.8,35.2,39.7,45.6,48.8,34.9,30.3,70.8,3.6,5.0,0.0,0.0
24.0,109.0,96.9,0.7952,50.4,46.6,18.8,18.7,34.3,31.7,39.2,37.2,49.9,46.8,34.6,30.8,71.8,3.6,6.0,0.0,0.0
25.0,108.4,88.5,0.9107,50.3,45.2,17.2,21.9,29.6,29.6,42.3,29.8,51.1,45.9,32.4,29.3,65.4,4.5,6.0,1.0,0.0
27.0,112.8,95.7,0.8693,51.1,45.0,15.9,14.9,32.5,28.2,46.7,31.3,51.7,41.1,33.2,34.8,66.2,4.4,7.0,0.0,0.0
23.0,106.9,96.0,0.774,48.3,49.4,19.7,17.8,34.0,26.1,48.3,30.2,48.6,47.3,31.8,35.6,66.9,2.4,8.0,1.0,0.0
20.0,107.9,92.9,0.8473,48.8,45.3,18.5,19.0,34.7,33.2,40.3,45.4,48.3,45.9,33.1,29.3,64.8,0.5,9.0,1.0,0.0
21.0,115.6,94.8,0.9067,52.4,46.3,14.7,20.0,28.0,32.0,49.7,41.0,51.3,45.0,36.4,32.7,69.2,1.4,9.0,1.0,0.0
21.0,110.3,96.4,0.8252,52.4,46.3,16.3,17.0,24.5,30.2,42.5,37.3,48.8,45.3,39.0,32.6,69.3,1.2,10.0,1.0,0.0
22.0,113.8,100.5,0.8078,50.6,49.1,15.3,16.6,34.9,28.6,47.6,36.8,49.2,48.2,36.9,33.7,73.0,0.6,10.0,0.0,0.0
24.0,113.8,97.5,0.8546,53.9,47.8,18.7,15.3,29.5,27.8,43.6,30.6,52.3,46.0,37.9,34.2,65.9,2.1,10.0,0.0,0.0
24.0,110.2,96.8,0.8151,51.5,47.2,19.0,19.6,35.1,31.4,46.6,33.4,50.2,47.4,36.4,31.2,67.2,3.2,11.0,0.0,0.0
19.0,108.2,95.0,0.8172,48.3,47.6,16.7,19.0,25.7,29.0,42.3,44.9,47.4,47.8,33.3,31.5,66.4,1.3,11.0,1.0,0.0
22.0,114.9,100.4,0.8249,48.3,48.9,17.3,16.4,35.3,30.8,41.9,33.7,46.5,48.8,34.7,32.8,64.9,1.2,11.0,1.0,0.0
22.0,114.8,101.4,0.8066,50.0,47.5,15.8,17.4,34.1,35.6,37.0,42.6,51.5,47.3,30.5,32.1,66.5,0.6,12.0,1.0,0.0
25.0,110.7,106.0,0.6237,50.4,49.4,13.4,16.8,29.1,32.8,43.9,38.0,49.5,49.6,34.7,32.7,72.3,-1.4,13.0,0.0,0.0
25.0,106.2,96.4,0.7519,50.7,45.4,19.7,21.7,34.4,33.3,55.5,52.8,48.7,44.0,36.9,32.7,69.6,-0.5,13.0,0.0,0.0
25.0,111.6,102.0,0.7385,53.2,44.4,18.7,16.1,37.7,33.0,53.9,34.1,52.9,42.7,36.1,33.2,67.1,-2.3,13.0,0.0,0.0
21.0,105.6,95.8,0.7537,49.2,46.4,16.7,20.3,30.2,29.6,47.1,47.5,49.2,43.2,32.7,35.2,68.4,-3.6,13.0,0.0,0.0
20.0,110.5,104.5,0.6557,51.5,50.4,18.8,18.5,36.5,31.8,44.3,44.0,49.6,50.6,37.1,33.2,70.0,-3.8,14.0,0.0,0.0
26.0,107.9,100.2,0.7018,50.2,44.4,17.2,23.7,35.4,33.1,49.5,44.8,50.8,43.2,32.5,31.0,64.1,-0.6,14.0,0.0,0.0
22.0,104.7,102.5,0.5605,52.0,47.6,20.9,18.5,31.0,32.0,51.4,34.7,53.7,47.8,32.6,31.5,67.0,-2.9,14.0,0.0,0.0
20.0,101.8,97.7,0.6178,55.8,46.4,23.1,19.6,26.5,29.7,35.0,40.7,55.1,45.7,37.9,31.9,61.4,-5.5,15.0,0.0,0.0
22.0,112.1,107.5,0.6177,56.7,55.7,15.8,24.2,23.0,34.0,43.2,54.9,55.7,56.7,38.6,35.8,66.0,-3.3,15.0,0.0,0.0
20.0,104.3,103.9,0.5123,49.1,49.1,19.9,18.5,28.6,31.2,44.7,36.5,49.1,50.4,32.7,31.0,67.8,-6.1,15.0,0.0,0.0
17.0,99.7,102.2,0.4275,48.8,49.5,16.4,19.7,30.9,29.0,33.0,39.4,47.4,49.6,34.6,32.9,62.1,-6.5,15.0,0.0,0.0
19.0,102.8,103.1,0.49,48.8,48.3,19.7,18.3,31.9,28.4,42.0,29.1,47.0,46.0,36.0,34.9,63.2,-8.6,16.0,0.0,0.0
12.0,102.0,104.4,0.4356,46.0,49.3,14.7,18.1,30.9,33.2,33.2,42.9,44.2,48.6,33.0,33.8,60.4,-10.7,16.0,0.0,0.0
18.0,98.3,102.0,0.3946,48.0,47.5,20.2,18.3,34.2,29.3,38.6,39.6,47.6,46.7,32.6,32.4,67.5,-7.7,16.0,0.0,0.0
17.0,106.0,106.6,0.4831,54.1,47.8,19.0,13.8,28.4,28.7,49.7,35.1,51.1,47.0,39.4,33.7,64.3,-6.9,16.0,0.0,0.0
25.0,107.6,85.0,0.9381,51.1,43.0,20.1,22.4,30.4,31.0,36.8,35.3,50.2,41.4,35.3,30.7,62.5,6.6,2.0,1.0,0.0
29.0,107.0,91.1,0.8641,48.4,45.9,17.6,19.5,29.3,27.6,45.7,25.7,46.1,42.0,35.1,34.6,65.4,6.9,3.0,0.0,0.0
26.0,113.4,94.5,0.8896,49.1,47.5,18.2,22.2,38.5,33.8,31.7,36.8,46.8,46.5,35.8,33.3,63.0,5.4,4.0,1.0,0.0
23.0,107.2,84.3,0.9406,48.6,43.0,15.7,18.0,32.6,26.9,29.7,25.7,48.0,42.8,33.0,28.9,61.9,4.6,5.0,1.0,0.0
24.0,107.1,88.6,0.8983,48.8,44.5,18.2,21.7,31.3,30.8,40.5,35.1,49.5,42.4,31.6,32.4,67.3,3.2,5.0,1.0,0.0
24.0,104.7,88.4,0.8749,48.9,44.1,20.2,18.5,33.3,27.1,36.7,29.6,48.9,42.6,32.6,31.6,69.3,1.8,5.0,0.0,0.0
25.0,110.0,94.8,0.8475,49.1,47.5,15.8,19.9,30.7,34.0,33.1,24.6,48.9,46.9,33.3,32.4,69.6,3.3,6.0,1.0,0.0
25.0,112.9,95.4,0.8748,52.2,46.8,17.6,16.0,34.0,29.5,32.0,24.6,50.6,45.9,37.0,32.5,61.7,3.9,7.0,1.0,0.0
24.0,112.8,91.1,0.9217,51.7,44.6,18.1,22.0,40.4,30.0,37.5,36.4,51.5,44.0,34.9,30.4,60.3,3.1,8.0,1.0,0.0
24.0,115.2,98.0,0.865,54.2,46.8,18.0,16.6,34.7,32.6,40.9,29.0,52.8,47.5,39.1,30.2,68.1,2.2,8.0,1.0,0.0
19.0,105.3,90.5,0.8507,47.3,47.3,22.9,22.0,33.1,29.5,50.6,40.9,46.0,42.4,33.2,37.3,67.7,0.3,9.0,1.0,0.0
23.0,113.3,95.2,0.8815,51.2,46.1,18.9,17.6,38.7,28.6,35.0,29.7,51.4,44.1,33.9,33.2,67.7,1.2,9.0,1.0,0.0
20.0,110.3,95.6,0.8391,47.8,47.4,17.5,19.6,33.2,31.5,35.4,31.4,47.6,46.4,32.3,32.9,66.7,0.3,10.0,1.0,0.0
21.0,104.9,90.2,0.8513,48.3,45.9,20.0,19.4,33.6,30.4,40.9,25.3,47.0,44.7,34.4,32.0,65.5,1.4,10.0,1.0,0.0
22.0,104.5,88.3,0.873,46.2,43.3,19.4,20.3,38.7,29.8,35.5,32.7,45.5,42.3,31.6,30.4,65.5,1.7,10.0,1.0,0.0
24.0,108.9,96.2,0.8064,56.5,48.0,19.6,25.0,29.7,34.2,32.8,37.0,56.9,46.7,37.2,33.5,67.4,0.1,11.0,0.0,0.0
27.0,104.7,93.1,0.7936,49.6,42.5,15.1,14.1,29.3,24.3,35.7,29.4,48.3,41.1,35.8,30.5,63.4,1.0,11.0,0.0,0.0
27.0,113.9,94.9,0.891,53.7,47.1,18.3,17.9,36.9,25.0,37.0,36.9,52.3,44.0,37.3,36.7,64.8,2.5,11.0,0.0,0.0
25.0,103.4,94.4,0.7402,51.0,44.6,20.8,20.2,37.6,30.5,36.9,35.0,52.1,42.7,32.7,32.8,66.5,0.3,12.0,0.0,0.0
22.0,109.7,103.7,0.6573,53.3,51.2,16.4,17.1,28.9,26.1,33.0,24.4,50.4,49.8,38.9,35.8,64.0,-3.2,13.0,0.0,0.0
23.0,101.6,101.8,0.4929,52.9,48.6,19.1,18.3,25.1,30.5,40.6,35.9,52.0,48.0,36.4,33.3,63.9,-1.4,13.0,0.0,0.0
23.0,102.5,95.3,0.6992,49.3,45.4,21.9,18.6,36.9,29.8,47.0,30.7,49.8,43.2,31.8,33.9,65.1,-3.1,13.0,0.0,0.0
19.0,104.8,102.1,0.573,49.0,47.8,19.2,21.7,34.8,37.3,40.3,40.5,50.0,46.8,31.0,33.9,73.0,-3.2,14.0,0.0,0.0
25.0,110.6,98.3,0.7959,53.1,45.3,17.0,18.8,29.0,28.5,38.9,36.4,52.0,44.3,36.6,32.1,65.2,-1.4,14.0,0.0,0.0
25.0,107.8,97.9,0.7514,55.7,46.2,21.8,19.5,31.2,28.2,41.7,36.8,55.7,44.5,37.1,33.8,65.6,-0.8,14.0,0.0,0.0
20.0,104.7,101.1,0.5991,50.5,50.0,17.8,20.0,29.2,30.8,37.7,39.3,46.8,48.0,38.9,35.4,63.4,-5.1,15.0,0.0,0.0
20.0,112.8,105.0,0.6956,52.1,51.6,17.1,19.3,32.8,33.4,32.7,32.2,50.4,49.1,36.7,37.5,71.3,-5.9,15.0,0.0,0.0
24.0,101.2,98.7,0.5722,49.6,48.3,21.2,19.9,31.7,28.2,40.0,27.8,46.7,47.6,37.0,33.1,63.2,-4.5,15.0,0.0,0.0
19.0,100.1,100.4,0.4895,48.6,47.9,22.2,20.8,34.8,30.7,37.6,37.8,48.3,47.6,32.7,32.4,66.0,-8.4,16.0,0.0,0.0
19.0,90.6,95.7,0.3459,45.7,45.2,22.7,23.4,29.8,33.2,42.6,41.1,45.4,43.4,30.7,32.0,66.9,-11.5,16.0,0.0,0.0
20.0,95.9,96.7,0.475,49.1,41.9,16.8,20.2,26.2,31.1,40.3,34.9,46.0,40.5,36.7,30.0,65.0,-5.7,16.0,0.0,0.0
21.0,98.5,99.4,0.4736,47.6,48.7,17.2,21.1,29.6,31.1,36.8,39.2,46.2,46.9,33.6,34.7,64.2,-8.9,16.0,0.0,0.0
19.0,122.4,102.6,0.8831,54.1,52.7,16.4,16.2,30.7,27.7,40.7,38.0,52.1,52.1,38.5,35.8,72.0,1.3,11.0,1.0,0.0
20.0,109.5,99.6,0.7486,50.3,48.2,15.6,20.4,28.0,30.5,39.6,34.6,51.1,45.0,32.6,35.9,69.4,-1.2,11.0,1.0,0.0
23.0,109.4,97.6,0.7866,49.9,50.6,15.7,20.6,26.9,29.2,32.5,33.9,50.1,51.5,33.0,32.9,70.2,1.8,11.0,1.0,0.0
20.0,105.2,105.0,0.5063,53.6,47.9,18.3,17.9,29.2,31.8,39.7,34.1,51.1,48.3,38.1,31.3,67.5,-5.1,16.0,0.0,0.0
20.0,108.3,94.5,0.8278,51.4,49.6,18.4,20.3,26.4,28.6,38.1,30.5,49.1,49.9,37.1,32.8,67.6,0.6,11.0,1.0,0.0
21.0,107.4,99.5,0.7067,51.9,50.7,14.3,21.2,21.8,29.4,29.5,39.7,50.7,50.3,35.8,34.2,72.3,-1.2,11.0,1.0,0.0
19.0,100.2,99.4,0.5238,49.4,48.1,21.1,23.9,30.9,33.1,47.4,52.3,48.8,48.0,33.6,32.4,68.0,-7.6,16.0,0.0,0.0
25.0,101.4,101.3,0.5043,51.3,45.3,17.8,19.8,31.6,31.2,34.2,28.0,52.7,46.1,32.7,29.2,68.0,-5.1,16.0,0.0,0.0
19.0,95.0,110.3,0.1522,50.4,48.5,20.8,16.8,32.9,29.7,30.3,34.3,51.3,48.1,32.3,32.8,66.4,-12.0,16.0,0.0,0.0
18.0,98.0,108.3,0.2414,49.9,49.9,22.7,17.5,34.8,26.9,33.5,31.4,51.3,50.9,31.5,32.0,66.4,-10.9,16.0,0.0,0.0
23.0,109.5,96.0,0.821,53.2,47.6,16.1,19.4,27.8,25.6,32.4,31.6,49.6,48.1,38.9,31.3,63.4,0.2,11.0,0.0,0.0
17.0,103.0,115.6,0.209,51.2,52.4,17.7,21.0,28.4,35.8,33.3,46.9,49.5,52.1,36.4,35.4,72.5,-9.9,16.0,0.0,0.0
18.0,101.9,109.9,0.2937,52.1,50.0,19.5,16.5,29.4,29.8,38.7,31.8,52.3,50.5,34.6,32.8,72.8,-13.2,16.0,0.0,0.0
20.0,115.7,102.1,0.8089,53.8,50.6,14.7,20.4,28.0,30.6,41.3,32.7,53.2,50.2,36.4,34.2,72.7,-1.2,11.0,1.0,0.0
21.0,113.7,100.6,0.8029,53.7,49.1,16.6,14.5,28.5,26.9,35.5,29.7,51.4,47.3,38.1,34.6,71.5,0.0,11.0,1.0,0.0
19.0,114.5,93.2,0.9148,52.9,43.1,16.8,14.2,27.2,29.3,39.8,34.4,50.1,42.6,38.2,29.4,68.7,-0.3,11.0,1.0,0.0
20.0,99.6,101.2,0.4538,50.2,50.3,23.7,22.4,36.1,32.6,42.8,34.7,51.6,51.8,30.7,31.9,67.7,-6.3,16.0,0.0,0.0
19.0,98.9,106.2,0.3065,48.5,47.9,16.3,19.6,28.1,31.2,38.1,39.9,47.6,47.7,33.8,32.2,69.5,-8.1,16.0,0.0,0.0
22.0,101.7,105.7,0.3911,49.0,51.2,17.4,24.7,29.7,34.3,43.1,46.2,49.2,53.7,32.4,31.2,72.2,-7.1,16.0,0.0,0.0
23.0,118.3,100.3,0.8699,53.2,49.6,16.4,17.7,33.4,28.4,42.5,39.2,50.2,49.6,39.0,33.1,70.8,0.8,11.0,0.0,0.0
20.0,121.2,99.2,0.9089,51.1,47.4,15.9,18.8,37.6,29.0,45.3,35.4,50.6,47.3,35.0,31.7,70.9,1.2,11.0,1.0,0.0
21.0,112.0,99.5,0.7965,51.7,49.4,18.7,16.9,34.1,28.7,41.6,39.5,51.5,47.4,34.8,35.2,66.0,1.4,12.0,1.0,0.0
16.0,107.1,111.0,0.3986,51.5,53.5,16.7,18.8,27.8,33.0,36.7,34.5,50.2,54.6,35.5,33.4,69.9,-9.4,16.0,0.0,0.0
18.0,106.1,112.9,0.3293,51.7,50.2,19.3,15.8,33.6,31.2,49.3,29.8,50.7,48.9,35.8,35.6,67.6,-9.7,16.0,0.0,0.0
28.0,105.1,91.0,0.8396,51.1,44.4,20.7,23.6,36.5,29.0,41.4,42.8,49.2,43.9,37.7,30.3,64.9,0.7,11.0,0.0,0.0
19.0,112.0,97.4,0.8332,51.8,51.4,18.4,20.0,30.3,24.4,33.7,42.2,48.4,51.0,38.7,34.8,66.2,-0.2,13.0,0.0,0.0
20.0,108.1,111.2,0.4195,54.4,52.6,20.3,18.4,35.2,33.5,45.6,31.6,53.1,51.1,38.0,37.2,69.3,-8.6,16.0,0.0,0.0
12.0,100.1,109.7,0.2591,48.5,47.8,19.8,15.1,29.0,32.6,38.4,38.5,44.9,48.6,37.0,30.9,65.7,-15.6,16.0,0.0,0.0
26.0,119.6,92.5,0.9507,51.6,45.4,18.2,17.7,40.0,31.2,35.2,37.8,50.9,45.6,35.8,30.0,69.9,6.5,4.0,1.0,0.0
22.0,114.1,96.8,0.8684,49.3,45.5,16.0,14.9,33.9,30.2,35.3,34.7,47.3,43.6,35.6,33.0,64.7,1.1,8.0,1.0,0.0
25.0,121.2,98.9,0.9122,53.7,49.5,14.3,17.4,33.2,34.7,40.6,25.3,51.0,48.9,38.5,34.0,68.7,4.2,4.0,1.0,0.0
27.0,119.4,96.5,0.9203,54.2,48.3,16.5,17.4,30.1,29.5,40.7,29.1,53.2,46.9,37.5,34.4,67.0,6.9,3.0,1.0,0.0
25.0,112.5,93.1,0.8984,52.9,47.2,17.4,17.4,27.2,26.3,33.5,27.2,51.6,43.9,36.6,35.2,67.2,3.9,5.0,1.0,0.0
23.0,106.0,92.1,0.8344,46.9,46.2,19.1,19.5,34.7,30.4,40.5,31.4,46.6,45.1,31.7,31.8,64.0,-0.4,11.0,1.0,0.0
29.0,111.7,90.9,0.9146,50.5,47.2,18.9,20.3,32.8,27.0,35.8,35.7,50.9,45.3,33.2,33.5,70.0,7.6,4.0,1.0,0.0
29.0,120.1,91.4,0.9582,52.9,48.9,17.2,18.3,35.3,22.8,30.2,28.4,52.1,47.9,36.2,33.5,76.0,10.0,1.0,1.0,0.0
26.0,117.8,93.4,0.9357,55.6,49.0,17.3,21.6,29.6,27.2,31.9,26.3,52.9,49.0,39.4,32.7,65.1,5.0,4.0,1.0,0.0
33.0,115.7,90.5,0.9439,52.1,42.5,16.5,18.2,34.4,26.0,31.6,37.3,51.3,43.0,35.5,27.9,67.3,7.8,3.0,1.0,0.0
27.0,121.3,98.4,0.9168,58.7,49.8,19.6,18.9,37.2,29.2,33.9,30.2,56.1,49.0,41.6,34.3,69.5,3.2,5.0,1.0,0.0
26.0,114.9,96.3,0.8839,55.2,46.5,18.9,16.4,29.1,29.9,37.0,27.0,55.8,45.5,36.2,32.1,67.9,4.0,5.0,1.0,0.0
22.0,108.8,93.5,0.8509,48.5,48.1,17.1,18.6,33.1,27.7,38.0,33.6,46.6,44.8,34.9,37.4,64.1,0.4,7.0,1.0,0.0
26.0,123.3,97.6,0.9366,57.0,51.9,14.2,19.5,24.7,30.0,30.1,27.2,56.3,50.0,38.5,37.8,64.0,3.8,7.0,1.0,0.0
27.0,116.6,93.1,0.9297,55.7,47.7,18.3,16.6,30.8,24.4,33.3,22.9,52.7,46.6,40.3,33.2,70.4,5.6,4.0,1.0,0.0
27.0,114.5,92.0,0.9255,52.1,47.5,17.0,19.5,35.9,25.9,32.9,28.0,51.1,43.1,35.9,37.6,64.4,5.1,8.0,1.0,0.0
30.0,123.2,95.7,0.9484,57.7,47.0,15.8,17.7,28.0,28.0,35.6,24.2,54.1,45.5,42.0,33.2,68.7,7.6,2.0,1.0,0.0
30.0,114.6,85.6,0.9665,51.6,44.1,13.9,18.0,24.7,24.8,27.5,24.1,51.8,44.3,34.2,29.1,65.9,9.2,2.0,1.0,0.0
24.0,111.6,88.5,0.9349,49.3,44.1,17.6,19.7,31.5,31.4,32.8,28.4,48.2,42.2,34.3,31.7,67.5,4.5,3.0,1.0,0.0
25.0,110.3,93.3,0.8733,46.1,52.7,18.7,28.0,40.1,31.1,40.4,55.5,45.5,51.8,31.6,36.5,68.6,4.1,5.0,1.0,0.0
23.0,121.4,98.6,0.9162,57.1,49.8,15.7,16.8,26.2,30.1,26.1,24.9,56.7,49.5,38.7,33.5,72.3,3.6,3.0,1.0,0.0
27.0,116.4,93.9,0.9226,52.5,46.1,20.6,17.1,39.8,29.4,33.9,30.1,52.2,45.0,35.3,32.2,65.1,7.9,3.0,1.0,0.0
28.0,115.4,89.3,0.9498,51.3,48.8,17.0,27.6,37.9,31.9,38.9,42.5,49.8,46.5,36.2,35.3,72.2,6.4,4.0,1.0,0.0
26.0,120.9,95.8,0.9353,50.4,49.9,16.5,23.3,37.0,30.1,31.3,44.1,48.8,45.4,35.3,38.0,71.2,4.6,5.0,1.0,0.0
23.0,115.7,95.1,0.9049,53.3,50.0,18.1,18.8,31.3,27.3,38.5,33.3,53.7,48.9,35.1,34.6,65.5,1.3,6.0,1.0,0.0
25.0,117.7,96.9,0.9038,54.6,50.8,15.0,19.6,27.2,27.0,37.1,37.0,54.5,51.3,36.6,33.3,67.2,5.5,4.0,1.0,0.0
29.0,114.3,91.5,0.9277,50.3,45.8,15.0,21.3,34.5,27.4,36.2,36.6,48.9,42.6,35.4,35.3,62.6,4.2,7.0,0.0,0.0
29.0,118.9,102.5,0.8462,54.8,49.4,13.5,18.0,26.7,29.3,36.3,30.1,52.1,50.7,39.2,31.7,70.7,2.5,7.0,0.0,0.0
22.0,111.8,96.6,0.8425,49.6,48.5,17.6,17.9,33.8,28.6,35.7,32.3,47.4,45.4,36.8,35.6,66.8,0.0,11.0,1.0,0.0
25.0,114.9,88.7,0.9513,55.2,43.0,18.2,18.3,31.3,28.4,43.4,34.3,52.3,41.4,40.1,31.2,61.4,3.7,5.0,1.0,0.0
32.0,117.6,95.6,0.9157,53.7,47.7,16.6,17.4,33.2,26.0,40.5,28.6,51.5,48.4,39.0,31.0,67.1,7.9,2.0,1.0,0.0
31.0,122.8,99.6,0.9175,59.8,48.7,15.1,15.8,29.1,28.6,26.8,25.4,59.1,45.3,40.6,36.5,74.6,6.6,3.0,1.0,0.0
25.0,108.1,91.7,0.8687,52.0,46.4,17.8,20.9,29.6,28.8,29.4,33.9,51.6,48.8,35.1,29.0,65.4,-1.1,12.0,1.0,0.0
28.0,113.0,92.2,0.9126,51.2,47.4,17.4,20.7,34.8,29.2,38.1,32.3,51.3,45.6,34.1,33.3,68.4,5.2,3.0,1.0,0.0
26.0,115.8,95.6,0.9,51.8,46.8,18.6,16.8,35.7,31.0,44.0,32.3,51.2,48.0,35.7,30.1,70.0,4.3,5.0,1.0,0.0
22.0,111.2,94.7,0.864,51.4,46.9,19.2,15.3,33.9,27.3,32.0,27.6,52.5,45.7,32.9,32.6,70.3,1.9,7.0,1.0,0.0
28.0,117.9,96.6,0.9081,51.2,49.9,17.9,20.1,36.7,30.8,37.1,33.1,52.9,49.4,31.9,33.7,71.2,7.3,3.0,1.0,0.0
31.0,122.8,95.2,0.9488,55.3,48.1,15.8,18.0,31.6,30.2,33.3,34.9,55.4,44.7,36.7,35.4,68.8,9.9,2.0,1.0,0.0
27.0,117.4,94.5,0.9238,55.2,44.8,17.1,15.1,32.1,26.0,34.4,28.1,54.3,44.4,37.8,30.3,68.2,2.1,11.0,0.0,0.0
32.0,117.2,94.9,0.9192,57.0,47.1,16.1,17.4,33.0,23.1,32.1,29.1,58.2,44.1,36.8,35.0,70.5,4.9,4.0,0.0,0.0
30.0,114.6,89.5,0.9449,50.8,44.2,16.5,18.4,33.9,25.8,42.0,32.5,49.0,42.1,36.9,32.3,61.2,8.2,1.0,1.0,0.0
28.0,118.6,98.8,0.8903,54.2,47.7,14.5,15.9,28.8,28.5,36.4,30.7,54.4,46.0,35.8,34.1,71.6,7.5,3.0,1.0,0.0
31.0,118.8,87.6,0.971,53.5,43.9,15.3,25.0,37.1,32.7,41.2,38.4,52.7,44.3,36.8,28.6,68.8,5.3,4.0,1.0,0.0
29.0,109.4,90.7,0.896,46.7,44.4,15.2,20.6,36.1,29.4,45.1,32.4,45.1,43.5,34.2,30.8,64.0,6.0,4.0,0.0,0.0
28.0,119.0,96.6,0.9167,54.1,49.9,14.5,20.3,29.8,28.6,38.2,35.7,53.0,48.6,38.0,34.4,70.2,4.5,4.0,1.0,0.0
24.0,119.2,99.5,0.8885,51.3,48.7,17.8,15.8,40.1,32.0,44.8,32.3,48.3,46.4,38.0,35.6,62.9,3.1,6.0,1.0,0.0
23.0,111.7,96.5,0.8436,51.3,48.0,17.0,17.0,29.3,28.1,45.0,37.0,49.9,45.8,36.4,34.9,67.2,1.1,10.0,1.0,0.0
23.0,118.1,93.4,0.9374,49.8,46.5,16.8,16.9,39.7,27.5,41.8,31.5,50.6,44.5,31.9,34.5,63.1,0.4,11.0,1.0,0.0
29.0,121.0,89.7,0.9692,54.7,44.0,19.3,20.9,39.0,31.4,45.8,27.0,52.0,43.2,40.3,30.4,67.8,7.8,1.0,1.0,0.0
31.0,111.6,86.2,0.9514,53.3,41.5,20.3,18.4,33.8,29.3,39.5,32.0,52.9,39.3,36.4,30.3,67.7,7.5,1.0,1.0,0.0
29.0,112.4,90.8,0.9207,51.9,45.7,16.7,18.4,31.3,28.4,34.6,28.3,50.6,44.0,36.2,32.6,63.0,6.3,2.0,1.0,0.0
26.0,111.4,87.8,0.9392,50.6,44.5,20.8,19.2,36.1,27.6,36.6,32.4,50.4,44.3,34.1,30.1,64.4,6.7,3.0,1.0,0.0
27.0,114.4,92.2,0.9229,52.5,46.6,19.5,19.8,35.0,26.7,37.4,32.9,50.6,43.4,37.1,35.8,66.8,4.6,6.0,1.0,0.0
28.0,104.8,88.6,0.8728,49.3,46.4,21.4,22.0,35.8,27.2,38.4,33.3,49.1,44.9,33.3,33.4,69.2,2.9,12.0,1.0,0.0
24.0,112.0,96.2,0.8516,51.9,49.3,17.1,21.3,29.0,34.2,31.3,28.5,49.3,50.6,37.7,30.2,66.0,0.3,13.0,0.0,0.0
24.0,103.4,96.3,0.6952,51.6,46.9,21.0,22.1,32.5,32.8,35.2,32.7,52.3,46.9,33.4,31.3,69.1,-4.0,15.0,0.0,0.0
20.0,118.1,91.1,0.9521,54.9,44.9,16.3,15.1,29.4,24.8,28.9,24.5,53.3,42.3,38.7,33.5,66.9,7.2,1.0,1.0,1.0
22.0,123.2,94.5,0.9548,57.5,49.1,17.6,24.6,37.5,30.9,27.0,31.7,54.1,48.1,41.8,34.0,68.8,6.6,1.0,1.0,1.0
23.0,117.7,90.4,0.9539,55.6,46.6,18.2,16.1,33.0,22.2,39.2,30.5,55.3,45.4,37.6,32.7,70.7,8.9,1.0,1.0,0.0
26.0,125.4,89.8,0.9791,61.0,47.5,16.1,20.3,30.4,23.4,36.7,25.9,64.0,46.8,36.5,32.5,74.6,8.5,1.0,0.0,1.0
21.0,123.5,95.7,0.9491,54.6,48.3,13.3,16.3,30.7,28.6,32.0,22.6,52.4,45.8,38.6,34.8,70.0,5.6,2.0,1.0,0.0
